hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
972,91,11,paris,24,danish,1,319183,Independant,Independant,1,0,0
526,293,73,paris,24,danish,1,319183,Accar Hotels,Safitel,0,0,0
558,96,12,paris,24,danish,1,319183,Accar Hotels,Ibas,1,0,0
229,201,40,paris,24,danish,1,319183,Accar Hotels,Marcure,1,0,0
722,175,26,paris,24,danish,1,319183,Yin Yang,Ardisson,1,0,0
595,171,30,paris,24,danish,1,319183,Morriott International,CourtYord,0,0,0
741,186,30,paris,24,danish,1,319183,Morriott International,CourtYord,0,0,0
858,209,40,paris,24,danish,1,319183,Yin Yang,Royal Lotus,1,0,0
248,199,50,paris,24,danish,1,319183,Accar Hotels,Marcure,0,0,0
176,91,0,paris,24,danish,1,319183,Accar Hotels,Ibas,0,0,0
868,189,53,paris,24,danish,1,319183,Yin Yang,Royal Lotus,0,1,1
853,177,31,paris,24,danish,1,319183,Chillton Worldwide,Tripletree,1,0,0
522,130,26,paris,24,danish,1,319183,Boss Western,Boss Western,1,0,0
331,97,26,paris,24,danish,1,319183,Independant,Independant,0,0,0
56,211,48,paris,24,danish,1,319183,Yin Yang,Royal Lotus,1,1,0
150,206,48,paris,24,danish,1,319183,Accar Hotels,Marcure,0,0,0
162,286,79,paris,24,danish,1,319183,Morriott International,Corlton,1,1,0
379,289,74,paris,24,danish,1,319183,Morriott International,Corlton,0,0,0
885,181,40,paris,24,danish,1,319183,Chillton Worldwide,Tripletree,0,0,0
69,267,130,paris,24,danish,1,319183,Accar Hotels,Safitel,0,0,0
222,289,72,paris,24,danish,1,319183,Morriott International,Corlton,1,0,0
207,174,29,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,0,0,1
24,259,90,paris,24,danish,1,319183,Morriott International,Corlton,0,1,0
259,130,19,paris,24,danish,1,319183,Boss Western,Boss Western,0,0,0
656,123,26,paris,24,danish,1,319183,Boss Western,Boss Western,1,0,0
841,92,28,paris,24,danish,1,319183,Independant,Independant,0,0,0
579,84,18,paris,24,danish,1,319183,Accar Hotels,Ibas,0,0,0
911,119,35,paris,24,danish,1,319183,Boss Western,Boss Western,0,0,0
792,90,35,paris,24,danish,1,319183,Independant,Independant,0,0,0
948,205,51,paris,24,danish,1,319183,Accar Hotels,Marcure,1,1,0
937,213,39,paris,24,danish,1,319183,Yin Yang,Royal Lotus,0,0,0
647,135,24,paris,24,danish,1,319183,Boss Western,Boss Western,1,0,0
614,93,10,paris,24,danish,1,319183,Accar Hotels,Ibas,1,0,0
970,278,73,paris,24,danish,1,319183,Chillton Worldwide,Chill Garden Inn,0,0,2
748,186,74,paris,24,danish,1,319183,Accar Hotels,Marcure,0,0,0
889,174,34,paris,24,danish,1,319183,Chillton Worldwide,Tripletree,0,0,0
0,190,62,paris,24,danish,1,319183,Yin Yang,Royal Lotus,1,0,1
817,216,43,paris,24,danish,1,319183,Chillton Worldwide,Quadrupletree,1,1,0
227,85,16,paris,24,danish,1,319183,Yin Yang,8 Premium,0,0,0
663,164,36,paris,24,danish,1,319183,Chillton Worldwide,Tripletree,0,0,0
742,275,68,paris,24,danish,1,319183,Accar Hotels,Safitel,1,1,0
359,129,27,paris,24,danish,1,319183,Accar Hotels,Navatel,0,0,0
165,171,40,paris,24,danish,1,319183,Independant,Independant,1,0,0
14,159,40,paris,24,danish,1,319183,Independant,Independant,1,0,0
123,118,23,paris,24,danish,1,319183,Boss Western,Boss Western,0,0,0
785,214,34,paris,24,danish,1,319183,Morriott International,Morriot,1,1,0
28,137,25,paris,24,danish,1,319183,Boss Western,Boss Western,0,0,1
484,130,22,paris,24,danish,1,319183,Boss Western,Boss Western,0,0,0
159,217,43,paris,24,danish,1,319183,Chillton Worldwide,Quadrupletree,1,0,0
912,174,0,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,0,0,0
305,175,31,paris,24,danish,1,319183,Morriott International,CourtYord,1,0,0
95,301,66,paris,24,danish,1,319183,Morriott International,Corlton,1,0,0
602,115,17,paris,24,danish,1,319183,Independant,Independant,1,0,0
640,175,32,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,0,0,0
790,301,65,paris,24,danish,1,319183,Accar Hotels,Safitel,1,1,0
467,271,89,paris,24,danish,1,319183,Accar Hotels,Safitel,0,0,0
803,301,63,paris,24,danish,1,319183,Accar Hotels,Safitel,0,0,0
449,193,46,paris,24,danish,1,319183,Yin Yang,Royal Lotus,1,0,0
629,92,25,paris,24,danish,1,319183,Independant,Independant,0,0,0
564,97,3,paris,24,danish,1,319183,Accar Hotels,Ibas,0,0,0
863,278,67,paris,24,danish,1,319183,Chillton Worldwide,Chill Garden Inn,0,1,0
797,132,28,paris,24,danish,1,319183,Accar Hotels,Navatel,0,0,0
492,124,23,paris,24,danish,1,319183,Independant,Independant,0,0,0
132,274,88,paris,24,danish,1,319183,Accar Hotels,Safitel,0,1,0
851,90,31,paris,24,danish,1,319183,Independant,Independant,1,0,0
582,216,46,paris,24,danish,1,319183,Yin Yang,Royal Lotus,0,1,0
148,121,22,paris,24,danish,1,319183,Independant,Independant,0,0,0
254,174,34,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,0,0,0
560,162,42,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,0,0,0
631,88,2,paris,24,danish,1,319183,Yin Yang,8 Premium,1,0,0
357,171,33,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,0,0,0
645,171,28,paris,24,danish,1,319183,Boss Western,J.Halliday Inn,1,0,1
705,151,22,paris,24,danish,1,319183,Boss Western,Boss Western,1,0,0
62,89,14,paris,24,danish,1,319183,Accar Hotels,Ibas,0,0,0
576,223,41,paris,24,danish,1,319183,Morriott International,Morriot,0,0,0
612,197,48,paris,24,danish,1,319183,Chillton Worldwide,Quadrupletree,0,1,0
392,172,38,paris,24,danish,1,319183,Chillton Worldwide,Tripletree,0,1,1
257,177,26,paris,24,danish,1,319183,Morriott International,CourtYord,0,0,0
738,124,32,paris,24,danish,1,319183,Accar Hotels,Navatel,0,0,0
323,298,76,paris,24,danish,1,319183,Chillton Worldwide,Chill Garden Inn,1,1,0
910,89,21,paris,24,danish,1,319183,Yin Yang,8 Premium,0,0,0
436,262,121,paris,24,danish,1,319183,Accar Hotels,Safitel,0,0,0
119,201,46,paris,24,danish,1,319183,Morriott International,Morriot,1,0,0
