hotel_id,price,stock,city,date,language,mobile,avatar_id,group,brand,parking,pool,children_policy
615,117,2,madrid,7,swedish,0,319187,Accar Hotels,Navatel,0,0,0
135,376,7,madrid,7,swedish,0,319187,Chillton Worldwide,Chill Garden Inn,0,1,0
285,98,0,madrid,7,swedish,0,319187,Independant,Independant,1,0,0
836,189,6,madrid,7,swedish,0,319187,Yin Yang,Royal Lotus,1,0,0
322,89,6,madrid,7,swedish,0,319187,Independant,Independant,1,0,0
721,74,0,madrid,7,swedish,0,319187,Independant,Independant,0,0,0
127,75,0,madrid,7,swedish,0,319187,Independant,Independant,1,0,0
888,232,24,madrid,7,swedish,0,319187,Morriott International,Corlton,1,0,1
138,74,0,madrid,7,swedish,0,319187,Independant,Independant,0,0,0
284,161,7,madrid,7,swedish,0,319187,Yin Yang,Ardisson,1,0,1
93,281,9,madrid,7,swedish,0,319187,Chillton Worldwide,Chill Garden Inn,1,0,0
845,347,7,madrid,7,swedish,0,319187,Accar Hotels,Safitel,0,0,0
600,68,0,madrid,7,swedish,0,319187,Independant,Independant,1,0,0
870,77,0,madrid,7,swedish,0,319187,Independant,Independant,0,0,0
351,100,3,madrid,7,swedish,0,319187,Independant,Independant,0,0,0
75,154,3,madrid,7,swedish,0,319187,Boss Western,Boss Western,0,0,0
939,184,1,madrid,7,swedish,0,319187,Morriott International,Morriot,1,1,0
313,74,0,madrid,7,swedish,0,319187,Accar Hotels,Ibas,0,0,0
31,118,5,madrid,7,swedish,0,319187,Boss Western,Boss Western,0,0,0
527,159,0,madrid,7,swedish,0,319187,Yin Yang,Ardisson,0,0,0
54,97,0,madrid,7,swedish,0,319187,Independant,Independant,0,0,0
185,159,0,madrid,7,swedish,0,319187,Morriott International,CourtYord,0,0,0
147,188,0,madrid,7,swedish,0,319187,Yin Yang,Royal Lotus,1,1,0
241,136,0,madrid,7,swedish,0,319187,Boss Western,J.Halliday Inn,1,0,0
901,385,7,madrid,7,swedish,0,319187,Morriott International,Corlton,1,1,0
791,119,5,madrid,7,swedish,0,319187,Boss Western,Boss Western,1,0,0
619,133,0,madrid,7,swedish,0,319187,Independant,Independant,1,0,0
444,111,8,madrid,7,swedish,0,319187,Boss Western,Boss Western,1,0,0
828,125,5,madrid,7,swedish,0,319187,Independant,Independant,0,0,0
